tableA_id,tableA_title,tableA_authors,tableA_venue,tableA_year,tableB_id,tableB_title,tableB_authors,tableB_venue,tableB_year,label
1568,View Invalidation for Dynamic Content Caching in Multitiered Architectures,"K. Sel?uk Candan, Wang-Pin Hsiung, Oliver Po, Divyakant Agrawal, Wen-Syan Li",VLDB,2002,60094,MINIMOS 5 User's Guide,S Selberherr??¦,"Technical University Vienna,",nan,0
1719,From Structured Documents to Novel Query Facilities,"Sophie Cluet, Michel Scholl, Serge Abiteboul, Vassilis Christophides",SIGMOD Conference,1994,25999,Brownian Motion and Stochastic Flow Systems,M Harrison,nan,nan,0
1311,SENTINEL: An Object-Oriented DBMS With Event-Based Rules,Sharma Chakravarthy,SIGMOD Conference,1997,14366,"Environmental effects on mechanical properties of silicon nitride joints with metallic interlayers,","K Suganuma, T Okamoto","&hellip;  of an international workshop, Santa Barbara California, USA,",nan,0
2096,Generating Dynamic Content at Database-Backed Web Servers: cgi-bin vs. mod_perl,"Alexandros Labrinidis, Nick Roussopoulos",SIGMOD Record,2000,20246,"Zissimopoulos and MV Koutras (2001), Fault tree analysis via set cover model",SV Tsitmidelis,"EUROGEN 2001 Athens,",nan,0
1741,Hyper-Programming in Java,"Graham N. C. Kirby, Ronald Morrison, Evangelos Zirintsis",VLDB,1999,12119,Issues in ITA Training Programs.,"DL Sequeira, M Costantino","New Directions for Teaching and Learning,",1989.0,0
308,The Case for Enhanced Abstract Data Types,"Raghu Ramakrishnan, Miron Livny, Praveen Seshadri",VLDB,1997,39386,"Design, Synthesis and Computational Activity Prediction of Ester Soft Drugs as Inhibitors of","M Graffner-Nordberg, K Kolmodin, J Aqvist, SF",nan,nan,0
874,A Protein Patent Query System Powered By Kleisli,"Jing Chen, Louxin Zhang, Limsoon Wong",SIGMOD Conference,1998,60858,Color perception testing of blue-light filtering IOLs using the FM-100 test,R Cionni,"San Diego: ASCRS,",nan,0
510,Qualitative Representation of Spatial Knowledge in Two-Dimensional Space,"Dimitris Papadias, Timos K. Sellis",VLDB J.,1994,16480,Some optimal inapproximability results,J H&amp;tad,"Proc. of the 28th Annual ACM Symposium on Theory of  &hellip;,",nan,0
2465,TIP: A Temporal Extension to Informix,"Huacheng C. Ying, Jennifer Widom, Jun Yang",SIGMOD Conference,2000,58547,PVRG???JPEG CODEC,AC Hung,1993,nan,0
1526,RoadRunner: Towards Automatic Data Extraction from Large Web Sites,"Giansalvatore Mecca, Valter Crescenzi, Paolo Merialdo",VLDB,2001,28374,Psychodrama: Discovering New Meaning in Personal Drama.,WD Pearlman,"New Directions for Adult and Continuing Education,",1990.0,0
1209,Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes,"C. Mohan, S. Watts, Ron Barber, Amit Somani, Markos Zaharioudakis",VLDB,2000,15420,Molecular approaches to assessing Red Sea urchin(Strongylocentrotus franciscanus) populations:,P Debenham,1997,nan,0
562,DLFM: A Transactional Resource Manager,"Hui-I Hsiao, Inderpal Narang",SIGMOD Conference,2000,29066,DLFM: A Transactional Resource Manager,"HI Hsiao, I Narang","SIGMOD Conference,",2000.0,1
2091,Miro Web: Integrating Multiple Data Sources through Semistructured Data Types,"Fei Sha, Tatiana Chan-Sine-Ying, Georges Gardarin, Tuyet-Tram Dang-Ngoc, Jean-Luc Darroux, Luc Bouganim",VLDB,1999,1096,How state regulatory agencies address privatization: The case of wastewater treatment,"JG Heilman, GW Johnson","New Directions for Program Evaluation,",1991.0,0
1132,Estimating Compilation Time of a Query Optimizer,"Dengfeng Gao, Eileen Tien Lin, Jun Rao, Ihab F. Ilyas, Guy M. Lohman",SIGMOD Conference,2003,23036,The Administrative Skills Program: What Have We Learned?.,JJ Speizer,"New Directions for Higher Education,",1983.0,0
881,Design and Management of Data Warehouses: Report on the DMDW'99 Workshop,"Martin Staudt, Yannis Vassiliou, Manfred A. Jeusfeld, Stella Gatziu",SIGMOD Record,1999,28913,Design and Management of Data Warehouses: Report on the DMDW'99 Workshop,"S Gatziu, MA Jeusfeld, M Staudt, Y Vassiliou","SIGMOD Record,",1999.0,1
1462,A Consumer Viewpoint on Mediator Languages - a Proposal for a Standard,"Eric Hughes, Leonard J. Seligman, Arnon Rosenthal, Scott Renner",SIGMOD Record,1997,53841,Data management for user proles in wireless communications systems,"J Jannink, D Lam, N Shivakumar, J Widom, DC Cox",nan,nan,0
1664,Coalescing in Temporal Databases,"Michael D. Soo, Richard T. Snodgrass, Michael H. B?hlen",VLDB,1996,4425,Approximate Similarity in Metric Data by Using Region Proximity ???First DELOS Network of Excellence,"G Amato, F Rabitti, P Savino, P Zezula","&hellip;  and Querying in Digital Libraries, Zurich, Switzerland,",nan,0
1581,Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,"Christos Faloutsos, Volker Gaede",VLDB,1996,9123,Common Sense on the Go: Giving Mobile Applications an Understanding of Everyday Life,"H Lieberman, A Faaborg, J Espinosa, T Stocky",BT Technology,nan,0
1258,Research in Multi-Organizational Processes and Semantic Information Brokering at the LSDIS Lab,"John A. Miller, Amit P. Sheth, Ismailcem Budak Arpinar, Krys Kochut",SIGMOD Record,2001,35967,A methodology for view integration in logical database integration,"SB Navathe, SG Gadgil","Eighth International Conference on Very Large Data Bases,",nan,0
69,Rainbow: mapping-driven XQuery processing system,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",SIGMOD Conference,2002,23439,Beyond the Shoe Box: Foundations for Flexibly Organizing Photographs on a Computer,"KD Grant, A Graham, T Nguyen, A Paepcke, T","Submitted for Publication,",2003.0,0
721,"i3: Intelligent, Interactive Investigaton of OLAP data cubes","Sunita Sarawagi, Gayatri Sathe",SIGMOD Conference,2000,5828,"I 3: Intelligent, Interactive Investigation of OLAP Cubes","S Sarawagi, G Sathe",Proc. Of the 2000 ACM SIGMOD Int???l Conference on,nan,1
1678,A New Method for Similarity Indexing of Market Basket Data,"Joel L. Wolf, Charu C. Aggarwal, Philip S. Yu",SIGMOD Conference,1999,25989,Electrochemically-controlled transport of lithium through ultra-thin SiO2 for novel electronic and,"N Ariel, G Ceder, DR Sadoway, EA Fitzgerald",Submitted for,nan,0
509,Random Sampling for Histogram Construction: How much is enough?,"Vivek R. Narasayya, Rajeev Motwani, Surajit Chaudhuri",SIGMOD Conference,1998,42279,Measuring and estimating weight of horses,"DD Householder, PG Gibbs","A Method Demonstration Teaching Guide. Texas A&amp;M,",nan,0
322,Progressive Merge Join: A Generic and Non-blocking Sort-based Join Algorithm,"Jens-Peter Dittrich, Peter Widmayer, David Scot Taylor, Bernhard Seeger",VLDB,2002,3609,Nonverbal Information Recognition and Its Application to Communications,R Nakatsu,"Proceedings of the sixth ACM international conference on  &hellip;,",1998.0,0
1199,The XPS Approach to Loading and Unloading Terabyte Databases,Sanket Atal,VLDB,1996,45929,Het nieuwe Russisch zonder moeite,LIT Assimil,nan,nan,0
2245,Scientific Journals: Extinction or Explosion? (Panel),"Gio Wiederhold, Abraham Silberschatz, Gerhard Rossbach, Raghu Ramakrishnan, Jaco Zijlstra, Hector Garcia-Molina",VLDB,1995,51091,Carotid artery stenosis: reproducibility of automated 3D CT angiography analysis method,"Z Zhang, MH Berg, AEJ Ikonen, RL Vanninen, HI","European Radiology,",2004.0,0
1581,Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,"Christos Faloutsos, Volker Gaede",VLDB,1996,22655,Early decrease of skin blood flow in response to locally applied pressure in diabetic subjects,"B Fromy, P Abraham, C Bouvet, B Bouhanick, P","DIABETES-NEW YORK-,",2002.0,0
2495,Contracting in the Days of eBusiness,"Wolfgang H?mmer, Wolfgang Lehner, Hartmut Wedekind",SIGMOD Record,2002,10893,"Bilateral Filtering for Gray and Color Images&quot;, Int'l Conf","C Tomasi, R Manduchi","Comp. Vis., Bombay, India,",nan,0
594,Chameleon: an Extensible and Customizable Tool for Web Data Translation,"Riccardo Torlone, Paolo Atzeni",VLDB,2003,35699,Selected Interviews with Certificate Program Students.,TM Rutkowski,"New Directions for Adult and Continuing Education,",1991.0,0
879,Checkpointing in Oracle,"Juan Loaiza, Ashok Joshi, Tirthankar Lahiri, William Bridge",VLDB,1998,17834,An Optimal Path Cover for Cographs,"R Lin, S Olariu, G Pruesse",nan,nan,0
1339,AJAX: An Extensible Data Cleaning Tool,"Daniela Florescu, Helena Galhardas, Dennis Shasha, Eric Simon",SIGMOD Conference,2000,11987,Integer and fractional packings of hypergraphs,"V Rodl, M Schacht, M Siggers, N Tokushige",nan,nan,0
433,SuperSQL: An Extended SQL for Database Publishing and Presentation,Motomichi Toyama,SIGMOD Conference,1998,43893,SuperSQL: An Extended SQL for Database Publishing and Presentation,M Toyama,"SIGMOD Conference,",1998.0,1
1424,Models and Languages for Describing and Discovering E-Services,"Ming-Chien Shan, Fabio Casati",SIGMOD Conference,2001,43223,The Spoken Dutch Corpus: Overview and first evaluation,N Oostdijk,"Proceedings LREC 2000,",2000.0,0
2305,Medical Information Systems: Characterization and Challenges,"Lynn L. Peterson, Jorge C. G. Ramirez, Lon A. Smith",SIGMOD Record,1994,176,Exploiting Temporal Parallelism for Software-Only Video Effects Processing,"K Mayer-Patel, LA Rowe",nan,nan,0
871,Query Flocks: A Generalization of Association-Rule Mining,"Chris Clifton, Svetlozar Nestorov, Rajeev Motwani, Shalom Tsur, Jeffrey D. Ullman, Arnon Rosenthal, Serge Abiteboul",SIGMOD Conference,1998,25292,&quot; Lolita&quot;: The Springboard of Parody,A Appel Jr,"Wisconsin Studies in Contemporary Literature,",1967.0,0
799,Materialized View Selection for Multidimensional Datasets,"Jeffrey F. Naughton, Amit Shukla, Prasad Deshpande",VLDB,1998,30190,Guest Editor's Introduction,Y Singer,"Machine Learning,",2001.0,0
194,Clustering Techniques for Minimizing External Path Length,"A. A. Diwan, S. Sudarshan, Sanjeeva Rane, S. Seshadri",VLDB,1996,17672,A Simple Model and its Empirical Validation,"P Jitendra, F Victor, T Don, K Jim, MTCP","Proceedings of ACM SIGCOMM,",nan,0
887,DISIMA: A Distributed and Interoperable Image Database System,"Vincent Oria, Benjamin Bin Yao, Shu Lin, Paul Iglinski, M. Tamer ?zsu",SIGMOD Conference,2000,35084,An electrically trainable artificial neural network (ETANN) with 10240 floating gate synapses,"M Holler, S Tam, H Castro, R Benson",nan,nan,0
2233,Semantic Assumptions and Query Evaluation in Temporal Databases,"Sushil Jajodia, Xiaoyang Sean Wang, Elisa Bertino, Claudio Bettini",SIGMOD Conference,1995,28294,An Introduction to Spatial Databases,A Guting,"VLDB Journal,",nan,0
1809,Using Unknowns to Prevent Discovery of Association Rules,"Chris Clifton, Y?cel Saygin, Vassilios S. Verykios",SIGMOD Record,2001,12572,INSTITUTIONAL ARRANGEMENTS AND GOVERNMENT PERFORMANCE IN THE BRAZILIAN FEDERATION.,VD Lled?³,2003,nan,0
1271,Historical Queries Along Multiple Lines of Time Evolution,"Vassilis J. Tsotras, Gad M. Landau, Jeanette P. Schmidt",VLDB J.,1995,31427,Nursing Child Assessment Feeding Scales,KE Barnard,"Seattle, University of Washington,",nan,0
998,Data page layouts for relational databases on deep memory hierarchies,"David J. DeWitt, Mark D. Hill, Anastassia Ailamaki",VLDB J.,2002,25933,A New Method for Isolation of Murine Islets with Markedly Improved Yields,"M Liu, ME Shapiro","TRANSPLANTATION PROCEEDINGS,",1995.0,0
1754,Operator Scheduling in a Data Stream Manager,"Michael Stonebraker, Mitch Cherniack, Donald Carney, Stanley B. Zdonik, Alex Rasin, Ugur ?etintemel",VLDB,2003,58343,A review of finishing systems at the NAC pig unit,P Hales,"Report published by the Pig Demonstration Unit,",nan,0
1507,Information Gathering in the World-Wide Web: The W3QL Query Language and the W3QS System,"David Konopnicki, Oded Shmueli",ACM Trans. Database Syst.,1998,34030,An Investigation of Acoustic Enhancing Features for Use in Audio Tools,H Sharifi,"MSc Thesis, Department of Computer Science, University of",nan,0
1238,Efficient Incremental Garbage Collection for Client-Server Object Database Systems,"Laurent Amsaleg, Olivier Gruber, Michael J. Franklin",VLDB,1995,50873,Computing Clusters of Correlation Connected Objects,"C Bohm, K Kailing, P Kroger, A Zimek","Proc. of ACM-SIGMOD Int. Conf. on Management of Data,",2004.0,0
1340,Tuple Routing Strategies for Distributed Eddies,"Feng Tian, David J. DeWitt",VLDB,2003,34347,Analytical design of stable continuous-time generalised predictive control,"Z Kowalczuk, P Suchomski","APPLIED MATHEMATICS AND COMPUTER SCIENCE,",1999.0,0
59,A Database Perspective on Lotus Domino/Notes,C. Mohan,SIGMOD Conference,1999,54241,Mobile Payments,U Varshney,nan,nan,0
1699,Design and Analysis of Parametric Query Optimization Algorithms,Sumit Ganguly,VLDB,1998,2545,"????¬ ??Efficiently Updating Materialized Views, ????¬?? Proc","JA Blakeley, P Larson, FW Tompa","ACM SIGMOD,",nan,0
2507,Heuristic and Randomized Optimization for the Join Ordering Problem,"Guido Moerkotte, Michael Steinbrunn, Alfons Kemper",VLDB J.,1997,11632,The Open System User's Programming Interfaces,A Langsford,"Computer Networks,",1984.0,0
847,Is GUI Programming a Database Research Problem?,"Ravi Krishnamurthy, Charles Hoch, Nita Goyal, Michael Suckow, Brian Meckler",SIGMOD Conference,1996,39146,Geometry scaling of the substrate loss of RF MOSFETs,"LF Tiemeijer, DBM Klaassen","Proc. 28th Eur. Solid-State Device Research Conf.(ESSDERC),",nan,0
2261,Functional Properties of Information Filtering,"Masahiko Tsukamoto, Shojiro Nishio, Tsutomu Terada, Rie Sawai, Yin-Huei Loh",VLDB,2001,22751,Supplemental health insurance,"R Garratt, JM Marshall",nan,nan,0
1325,Enabling End-users to Construct Data-intensive Web-sites from XML Repositories: An Example-based Approach,"Hiroyuki Kitagawa, Satoshi Takano, Seiichi Koizumi, Atsuyuki Morishima",VLDB,2001,46055,An introduction to population genetics theory: Harper and Row,"JF Crow, M Kimura","New York,",nan,0
1474,"A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries","Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri",SIGMOD Conference,2001,10605,Theory of difference equations: numerical methods and applications Academic Press,"V Lakshmikantham, D Trigiante","San Diego,",nan,0
1344,Exploiting Versions for On-line Data Warehouse Maintenance in MOLAP Servers,"Heum-Geun Kang, Chin-Wan Chung",VLDB,2002,47144,S-Plus 2000 user???s guide,I MathSoft,"MathSoft Inc., Seattle, Washington, USA,",nan,0
2316,The BEA/XQRL Streaming XQuery Processor,"Geetika Agrawal, Paul Lucas, Arvind Sundararajan, Fabio Riccardi, Michael J. Carey, Daniela Florescu, Donald Kossmann, Till Westmann, Chris Hillery",VLDB,2003,927,Business-to-business interactions: issues and enabling technologies; VLDB Volume 12 Number 1; 2003;,"B Medjahed, B Benatallah, A Bouguettaya, AHH Ngu,",nan,nan,0
2066,A Language for Manipulating Arrays,"Arunprasad P. Marathe, Kenneth Salem",VLDB,1997,22221,Application of Newton???s identities to a generalized birthday problem and to the Poisson Binomial,C Stein,"Technical Report 354, Dept. Statistics, Stanford University,",nan,0
1722,DBXplorer: enabling keyword search over relational databases,"Gautam Das, Sanjay Agrawal, Surajit Chaudhuri",SIGMOD Conference,2002,54658,Punctuated interpenetration and chronic disease progression,"R Wallace, RG Wallace",2002,nan,0
760,Electronic Commerce: Tutorial,"Nabil R. Adam, Yelena Yesha",SIGMOD Conference,1998,6794,An multi-targets evaluation approaches to customers credit,"ZF Zhou, XW Tang","Proceedings of 2003 International Conference on Management  &hellip;,",2003.0,0
698,Rate-based query optimization for streaming information sources,"Jeffrey F. Naughton, Stratis Viglas",SIGMOD Conference,2002,18180,Rate-based query optimization for streaming information sources,"S Viglas, JF Naughton","SIGMOD Conference,",2002.0,1
1358,Towards Event-Driven Modelling for Database Design,"Maguelonne Teisseire, Pascal Poncelet, Rosine Cicchetti",VLDB,1994,51738,The Acceptance cycle: An empirical investigation of human-human collaborative dialogues,"B Di Eugenio, PW Jordan, RH Thomason, JD Moore","Submitted for publication,",nan,0
2143,Self-tuning Histograms: Building Histograms Without Looking at Data,"Surajit Chaudhuri, Ashraf Aboulnaga",SIGMOD Conference,1999,9903,The synthesis of heat shock and normal proteins at high temperatures in plants and their possible,"M Altschuler, JP Mascarenhas","See Ref,",nan,0
1730,Structures for Manipulating Proposed Updates in Object-Oriented Databases,"Richard Hull, Mohammed Rupawalla, Michael Doherty",SIGMOD Conference,1996,26875,Structures for Manipulating Proposed Updates in Object-Oriented Databases,"M Doherty, R Hull, M Rupawalla","SIGMOD Conference,",1996.0,1
310,The Role of Integrity Constraints in Database Interoperation,"Peter M. G. Apers, Mark W. W. Vermeer",VLDB,1996,19536,Qualitative Spatial Representation and Reasoning Techniques,AG Cohn,"LECTURE NOTES IN COMPUTER SCIENCE,",1997.0,0
1875,A Goal-driven Auto-Configuration Tool for the Distributed Workflow Management System Mentor-lite,"German Shegalov, Gerhard Weikum, Wolfgang Wonner, Michael Gillmann, Jeanine Wei?enfels",SIGMOD Conference,2000,58103,PALLADIO: An Exploratory Design Environment for Integrated Circuits.,"H Brown, C Tong, G Foyster",IEEE,nan,0
728,What Is the Nearest Neighbor in High Dimensional Spaces?,"Charu C. Aggarwal, Alexander Hinneburg, Daniel A. Keim",VLDB,2000,39468,KeimDA (2000) Whatisthenearest neighbor in high dimensional spaces,ACC HinneburgA,Proceedings of the VLDB,nan,1
2406,Order-of-Magnitude Advantage of TPC-C Though Massive Parallelism,Charles Levine,SIGMOD Conference,1995,30758,Public-Key Cryptography and Password Protocols. February 1999. Earlier version in Proc. of the 5th,"S Halevi, H Krawczyk",1998,nan,0
635,Provision of Market Services for eCo Compliant Electronic Market Places,"Sena Nural Arpinar, Asuman Dogac",SIGMOD Record,2000,37368,Rapid Design Space Exploration of Heterogeneous Embedded Systems using Symbolic Search and Multi-,"S Mohanty, VK Prasanna, S Neema, J Davis",nan,nan,0
895,Client-Server Paradise,"Jignesh M. Patel, Jie-Bing Yu, Navin Kabra, David J. DeWitt, Jun Luo",VLDB,1994,39109,An approach to tensor product theory for representations of a vertex operator algebra,H Li,to,nan,0
249,The INCINERATE Data Model,H. V. Jagadish,ACM Trans. Database Syst.,1995,2620,Economic Control of Quality of Manufactured Product,WA Shewart,"New York,",nan,0
1878,Champagne: Data Change Propagation for Heterogeneous Information Systems,"Holger Meinecke, Uwe Heinkel, Ralf Rantzau, Carmen Constantinescu",VLDB,2002,13845,A New Bound for the 2-Edge Connected Subgraph Problem,"R Carr, R Ravi","LECTURE NOTES IN COMPUTER SCIENCE,",1998.0,0
2495,Contracting in the Days of eBusiness,"Wolfgang H?mmer, Wolfgang Lehner, Hartmut Wedekind",SIGMOD Record,2002,19758,The removal of gallstones by ether solution,JW Walker,"Lancet I,",nan,0
101,Multiway spatial joins,"Dimitris Papadias, Nikos Mamoulis",ACM Trans. Database Syst.,2001,47303,VARIATIONS: A Digital Music Library System at Indiana University,"JW Dunn, CA Mayer",nan,nan,0
474,Oracle Rdb's Record Caching Model,"Richard Frank, Gopalan Arun, Richard Anderson",SIGMOD Conference,1998,29878,Evaluating Reputation Systems for Document Authenticity,"N Daswani, P Golle, S Marti, H Garcia-Molina, D",nan,nan,0
1459,SEQUOIA 2000 Metadata Schema for Satellite Images,"Michael Stonebraker, Jean T. Anderson",SIGMOD Record,1994,36310,The complexity of parallel evaluation of recurrences J,"L HYAFIL, HT KUNG",nan,nan,0
515,Java Support for Data-Intensive Systems: Experiences Building the Telegraph Dataflow System,"Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein, Mehul A. Shah",SIGMOD Record,2001,6990,Influence of the intermediate principal stress on mechanical properties of a sand,"S Ogawa, S Mitsui, O Takemure","Proc. 29th Annual Meeting of JSCE, Part,",nan,0
60,"Domains, Relations and Religious Wars",Rafael Camps,SIGMOD Record,1996,54332,Summaryofthe nal reportof theNSFworkshop on scientific database management,"JC French, AK Jones, JL Pfaltz","SIGMOD Record,",nan,0
416,"World Wide Database - Integrating the Web, CORBA, and Databases","Kevin Smith, Athman Bouguettaya, Mourad Ouzzani, James Beard, Lily Hendra, Boualem Benatallah",SIGMOD Conference,1999,6898,Broadening the Context for Teaching Evaluation,R Cannon,"New Directions for Teaching and Learning,",2001.0,0
2046,Efficient schemes for managing multiversionXML documents,"Shu-Yao Chien, Carlo Zaniolo, Vassilis J. Tsotras",VLDB J.,2002,45418,"The GenAlg Project: Developing a New Integrating Data Model, Language, and Tool for Managing and","J Hammer, M Schneider","ACM SIGMOD Record,",2004.0,0
262,"50,000 Users on an Oracle8 Universal Server Database","Ashok Josji, Tirthankar Lahiri, Amit Jasuja, Sumanta Chatterjee",SIGMOD Conference,1998,14028,Evaluation of Database Recursive Logic Programs as Recursive Function Series,"G Gardarin, C DeMaindreville",Proc. ACM SIGMOD Int. Conference on Management of,nan,0
2373,Memory Management During Run Generation in External Sorting,"Goetz Graefe, Per-?ke Larson",SIGMOD Conference,1998,6030,SafLink Corp. An emerging Biometric API Industry Standard [J],CJ Tilton,"IEEE Computer,",nan,0
1263,"Towards Adaptive Workflow Systems, CSCW-98 Workshop Report","Mark Klein, Abraham Bernstein, Chrysanthos Dellarocas",SIGMOD Record,1999,17258,The Advent of Green Computer Design,L Goldberg,"IEEE Computer,",1998.0,0
1225,A new approach to developing and implementing eager database replication protocols,"Gustavo Alonso, Bettina Kemme",ACM Trans. Database Syst.,2000,36849,W hat is Human Agency?,C Taylor,Philosophical Papers,nan,0
2262,Incremental Updates of Inverted Lists for Text Document Retrieval,"Hector Garcia-Molina, Anthony Tomasic, Kurt A. Shoens",SIGMOD Conference,1994,42048,The Pursuit of Joint Outcomes and Equality in Outcomes: An Integrative Model of Social Value,PAM Van Lange,"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1999.0,0
490,Using Probabilistic Information in Data Integration,"Alon Y. Levy, Daniela Florescu, Daphne Koller",VLDB,1997,51437,Symbols and Scrolls: Teaching Elementary Students about Historic Writing. Pull-out 2.,LM Christensen,"Social Studies and the Young Learner,",1999.0,0
570,MineSet(tm): A System for High-End Data Mining and Visualization,?,VLDB,1996,60206,Information assurance for enterprise engineering,"J Heaney, D Hybertson, A Reedy, S Chapin, T",nan,nan,0
2312,An Efficient Method for Performing Record Deletions and Updates Using Index Scans,C. Mohan,VLDB,2002,46982,Surface damage on abraded silicon specimens,"R Stickler, GR Booker","Phil. Mag,",nan,0
1330,Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,"Anindya Datta, Vijay Kumar, Aslihan Celik, Debra E. VanderMeer",ACM Trans. Database Syst.,1999,31348,Introduction to forest and shade tree insects.-Academic Press,"P Barbosa, MR Wagner","San Diego, CA,",nan,0
78,"Workflow Automation: Applications, Technology, and Research (Tutorial)",Amit P. Sheth,SIGMOD Conference,1995,5576,"Software pipeliningof loopswith conditionalbranches,&quot;",MGSCG Lee,Proc. 29th Ann. Int&#39;l Symp. on,nan,0
35,Efficient IR-Style Keyword Search over Relational Databases,"Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis",VLDB,2003,15162,A Fast Index for Semistructured Data,"B Cooper, N Sample, MJ Franklin, GR Hjaltason, M","VLDB,",2001.0,0
2272,Report on NGITS'99: The 4th International Workshop on Next Generation Information Technologies and Systems,Opher Etzion,SIGMOD Record,1999,2992,Stereotypes as Energy-Saving Devices: A Peek Inside the Cognitive Toolbox,"CN Macrae, AB Milne, GV Bodenhausen","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1994.0,0
517,An Efficient Bitmap Encoding Scheme for Selection Queries,"Chee Yong Chan, Yannis E. Ioannidis",SIGMOD Conference,1999,54709,Checking the Validity of Summary Statistics from HEGIS Financial Data.,"DJ Collier, C Patrick","New Directions for Higher Education,",1979.0,0
460,Specification and Implementation of Exceptions in Workflow Management Systems,"Stefano Paraboschi, Stefano Ceri, Fabio Casati, Giuseppe Pozzi",ACM Trans. Database Syst.,1999,5101,A Report of the Rural Cancer Registry,"K Jayant, RS Rao, BM Nene, PS Dale",1991,nan,0
539,The Complexity of Transformation-Based Join Enumeration,"C?sar A. Galindo-Legaria, Martin L. Kersten, Arjan Pellenkoft",VLDB,1997,27554,Sequential I/O on Windows NT: Achieving Top Performance,"E Riedel, C Ingen, J Gray","Microsoft Research Technical Report MSR-TR-97-34,",nan,0
1619,Tutorial: Data Access,"Anand Deshpande, Jos? A. Blakeley",SIGMOD Conference,2000,57895,Mobilizing Public Housing Communities for Work,J Riccio,1999,nan,0
66,Finding Data in the Neighborhood,"Andr? Eickler, Alfons Kemper, Donald Kossmann",VLDB,1997,14709,Parent Practices Interview,C Webster-Stratton,1995,nan,0
2233,Semantic Assumptions and Query Evaluation in Temporal Databases,"Sushil Jajodia, Xiaoyang Sean Wang, Elisa Bertino, Claudio Bettini",SIGMOD Conference,1995,60056,Development of a Safety Performance Evaluation System to Determine the Effectiveness of the Safety,PJ Gareau,2001,nan,0
13,Approximate query mapping: Accounting for translation closeness,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",VLDB J.,2001,23746,Barrel Swirl Breakdown in Spark-Ignition Engines: Insights from particle Image Velocimetry,"M Reeves, MJ Haste, CP Garner, N Halliwell","Proceedings of the I MECH E Part D Journal of Automobile  &hellip;,",1999.0,0
1822,Reasoning on regular path queries,"Giuseppe De Giacomo, Moshe Y. Vardi, Maurizio Lenzerini, Diego Calvanese",SIGMOD Record,2003,31374,Doppler line shape of atomic fluorescence excited by molecular photodissociation,"RN Zare, DR Herschbach","Proc. IEEE,",nan,0
1070,The ECRC Multi Database System,"Heribert Sch?tz, Willem Jonker",SIGMOD Conference,1995,36320,"Relationship between extracellular fluid volume and initiation of salt gland secretion in gulls,",MR Hughes,"Proc 28th Congr Int Union Physiol Sci,",nan,0
1251,Evaluation of Main Memory Join Algorithms for Joins with Set Comparison Join Predicates,"Guido Moerkotte, Sven Helmer",VLDB,1997,32730,Structured Design and Construction of Hypermedia Applications,T Isakowitz,nan,nan,0
1690,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,"Paul Ammann, Indrakshi Ray, Sushil Jajodia",VLDB,1995,9765,Query Optimisation for Nested Relations,"L Golby, AR Algebra","Proceedings of the ACM SIGMOD International Conference on  &hellip;,",nan,0
1957,"Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases","King-Ip Lin, Harpreet S. Sawhney, Rakesh Agrawal, Kyuseok Shim",VLDB,1995,14902,Exogenous Uptake of Carbonyl Stress Compounds Promoting AGE Formation from Peritoneal Dialysis,"A Wieslander, T Linden, B Musi, L Jarkelid, R","CONTRIBUTIONS TO NEPHROLOGY,",2001.0,0
1991,StatiX: making XML count,"Jayant R. Haritsa, Juliana Freire, Maya Ramanath, Prasan Roy, J?r?me Sim?on",SIGMOD Conference,2002,11289,"???Digital Local Control System of Radial Magnetic field Errors in RFX: Design, Commissioning, and","E GAIO, A LUCHETTA, G MANDUCHI, G MARCHIORI, V","Proc. 28th Symposium on Fusion Technology, Marseilles,",nan,0
1007,Mining Quantitative Association Rules in Large Relational Tables,"Ramakrishnan Srikant, Rakesh Agrawal",SIGMOD Conference,1996,35259,MCSE (Exam 70-270) Microsoft XP Professional Training Kit,R Wallace,nan,nan,0
1234,Time Series Similarity Measures and Time Series Indexing,"Gautam Das, Dimitrios Gunopulos",SIGMOD Conference,2001,53713,"Trac Control in a Multiplexed Computer System,&quot;",JH Saltzer,"Technical Report MAC-TR-30 (Thesis), Massachusetts Institute of",nan,0
2062,The Evolution of the Web and Implications for an Incremental Crawler,"Junghoo Cho, Hector Garcia-Molina",VLDB,2000,45253,Design of dynamical and control systems by the method of inequalities,"V Zakian, U Al-Naib","Proc. IEE,",nan,0
